,Postal_Code,Color,Station
0,4251AA,ORANJE,BIESBOSCH
1,4254AA,ORANJE,BIESBOSCH
2,4261AA,ROOD,WAALWIJK
3,4264AA,ROOD,WAALWIJK
4,4271AA,ORANJE,GEERTRUIDENBERG
5,4283AA,ROOD,WAALWIJK
6,4285AA,ROOD,WAALWIJK
7,4286AA,ORANJE,GEERTRUIDENBERG
8,4611AA,GEEL,WOENSDRECHT
9,4613AA,ROOD,BERGEN OP ZOOM
10,4614AA,GEEL,WOENSDRECHT
11,4615AA,ROOD,BERGEN OP ZOOM
12,4616AA,GEEL,WOENSDRECHT
13,4617AA,GEEL,WOENSDRECHT
14,4622AA,GEEL,WOENSDRECHT
15,4623AA,GEEL,WOENSDRECHT
16,4624AA,GEEL,WOENSDRECHT
17,4625AA,GEEL,WOENSDRECHT
18,4631AA,GEEL,WOENSDRECHT
19,4634AA,GEEL,WOENSDRECHT
20,4635AA,GEEL,WOENSDRECHT
21,4651AA,ROOD,BERGEN OP ZOOM
22,4652AA,ROOD,BERGEN OP ZOOM
23,4655AA,ROOD,BERGEN OP ZOOM
24,4661AA,ROOD,BERGEN OP ZOOM
25,4701AA,GEEL,ROOSENDAAL
26,4702AA,GEEL,ROOSENDAAL
27,4703AA,GEEL,ROOSENDAAL
28,4705AA,GEEL,ROOSENDAAL
29,4706AA,GEEL,ROOSENDAAL
30,4707AA,GEEL,ROOSENDAAL
31,4708AA,GEEL,ROOSENDAAL
32,4709AA,GEEL,ROOSENDAAL
33,4711AA,ORANJE,ETTEN LEUR
34,4714AA,ORANJE,ETTEN LEUR
35,4715AA,GEEL,ROOSENDAAL
36,4721AA,ORANJE,ETTEN LEUR
37,4724AA,GEEL,ROOSENDAAL
38,4725AA,GEEL,ROOSENDAAL
39,4726AA,GEEL,ROOSENDAAL
40,4731AA,ORANJE,ETTEN LEUR
41,4735AA,GEEL,ROOSENDAAL
42,4741AA,ORANJE,ETTEN LEUR
43,4744AA,GEEL,ROOSENDAAL
44,4751AA,GEEL,ROOSENDAAL
45,4754AA,GEEL,ROOSENDAAL
46,4756AA,GEEL,ROOSENDAAL
47,4758AA,GEEL,ROOSENDAAL
48,4759AA,ORANJE,MOERDIJK
49,4761AA,ORANJE,MOERDIJK
50,4762AA,ORANJE,MOERDIJK
51,4781AA,ORANJE,MOERDIJK
52,4782AA,ORANJE,MOERDIJK
53,4791AA,ORANJE,MOERDIJK
54,4793AA,ORANJE,MOERDIJK
55,4794AA,GEEL,DINTELOORD
56,4797AA,ORANJE,MOERDIJK
57,4811AA,ROOD,BREDA
58,4813AA,ROOD,PRINCENHAGE
59,4814AA,ROOD,BREDA
60,4815AA,ROOD,BREDA
61,4816AA,ROOD,BREDA
62,4818AA,ROOD,BREDA
63,4819AA,ROOD,BREDA
64,4822AA,ROOD,BREDA
65,4823AA,ROOD,BREDA
66,4824AA,ROOD,BREDA
67,4825AA,ROOD,BREDA
68,4826AA,ROOD,BREDA
69,4827AA,ROOD,BREDA
70,4834AA,ROOD,BREDA
71,4835AA,ROOD,BREDA
72,4836AA,ROOD,BREDA
73,4837AA,ROOD,BREDA
74,4841AA,ROOD,PRINCENHAGE
75,4844AA,ROOD,BREDA
76,4847AA,ROOD,BREDA
77,4851AA,ROOD,BREDA
78,4854AA,ROOD,BREDA
79,4855AA,ROOD,BREDA
80,4856AA,ROOD,BREDA
81,4859AA,ROOD,BREDA
82,4861AA,ORANJE,TILBURG ZUID
83,4871AA,ORANJE,ETTEN LEUR
84,4872AA,ORANJE,ETTEN LEUR
85,4873AA,ORANJE,ETTEN LEUR
86,4874AA,ORANJE,ETTEN LEUR
87,4875AA,ORANJE,ETTEN LEUR
88,4876AA,ORANJE,ETTEN LEUR
89,4877AA,ORANJE,ETTEN LEUR
90,4878AA,ORANJE,ETTEN LEUR
