,Postal_Code,Color,Station
0,3014AA,No Info,No Info
1,3015AA,No Info,No Info
2,3016AA,No Info,No Info
3,3017AA,No Info,No Info
4,3018AA,No Info,No Info
5,3019AA,No Info,No Info
6,3020AA,No Info,No Info
7,3021AA,No Info,No Info
8,3022AA,No Info,No Info
9,3023AA,No Info,No Info
10,3024AA,No Info,No Info
11,3025AA,No Info,No Info
12,3026AA,No Info,No Info
13,3027AA,No Info,No Info
14,3028AA,No Info,No Info
15,3029AA,No Info,No Info
16,3030AA,No Info,No Info
17,3031AA,No Info,No Info
18,3032AA,No Info,No Info
19,3033AA,No Info,No Info
20,3034AA,No Info,No Info
21,3035AA,No Info,No Info
22,3036AA,No Info,No Info
23,3037AA,No Info,No Info
24,3038AA,No Info,No Info
25,3039AA,No Info,No Info
26,3040AA,No Info,No Info
27,3041AA,No Info,No Info
28,3042AA,No Info,No Info
29,3043AA,No Info,No Info
30,3044AA,No Info,No Info
31,3045AA,No Info,No Info
32,3046AA,No Info,No Info
33,3047AA,No Info,No Info
34,3048AA,No Info,No Info
35,3049AA,No Info,No Info
36,3050AA,No Info,No Info
37,3051AA,No Info,No Info
38,3052AA,No Info,No Info
39,3053AA,No Info,No Info
40,3054AA,No Info,No Info
41,3055AA,No Info,No Info
42,3056AA,No Info,No Info
43,3057AA,No Info,No Info
44,3058AA,No Info,No Info
45,3059AA,No Info,No Info
46,3060AA,No Info,No Info
47,3061AA,No Info,No Info
48,3062AA,No Info,No Info
49,3063AA,No Info,No Info
50,3064AA,No Info,No Info
51,3065AA,No Info,No Info
52,3066AA,No Info,No Info
53,3067AA,No Info,No Info
54,3068AA,No Info,No Info
55,3069AA,No Info,No Info
56,3070AA,No Info,No Info
57,3071AA,No Info,No Info
58,3072AA,No Info,No Info
59,3073AA,No Info,No Info
60,3074AA,No Info,No Info
61,3075AA,No Info,No Info
62,3076AA,No Info,No Info
63,3077AA,No Info,No Info
64,3078AA,No Info,No Info
65,3079AA,No Info,No Info
66,3080AA,No Info,No Info
67,3081AA,No Info,No Info
